Name;First_Name;Profits
Valette;Arthur;1968409.05
Durand;Charlotte;1917133.45
Thibault;Zacharie;1904561.75
Boucher;Bernard;1888001.95
Couturier;Georges;1882398.9
Le Goff;Colette;1882349.8
Antoine;Richard;1872480.4
Renault;Valérie;1867266.0
Lemaitre;Camille;1865161.2
Peron;Pierre;1855376.1
Guichard;Renée;1842129.4
Weber;Aimée;1834092.1
Chretien;Antoine;1825675.4
Brun;Marcel;1825666.6
Georges;Roland;1825664.95
Blanchard;Sébastien;1820654.5
Marechal;Luce;1819407.1
Weber;Jules;1818158.2
Da Silva;Hortense;1815491.25
Robin;Alexandrie;1811623.8
Descamps;Adrienne;1804614.15
Turpin;Émile;1804200.2
Georges;Audrey;1803065.65
Evrard;Renée;1802584.0
Charrier;Maurice;1802005.15
Bertrand;Sébastien;1801840.1
Tanguy;Frédérique;1800907.35
Peron;Marguerite;1799996.2
Michaud;Tristan;1799165.15
Picard;Colette;1791733.45
Hoarau;Zacharie;1791534.45
Maillet;Adrienne;1788751.65
Noel;Gilles;1788217.1
Laporte;Matthieu;1784884.2
Martins;Franck;1781200.95
Mallet;Suzanne;1780135.45
Gaillard;Dominique;1778931.5
Labbe;Thierry;1778856.55
Barbier;Benjamin;1777966.95
Blin;Corinne;1777896.2
Guichard;Emmanuel;1775422.7
Raynaud;Alexandrie;1775346.85
Berthelot;Noël;1770864.35
Moulin;Antoine;1769862.65
Boutin;Margaux;1768203.05
Lecoq;Alfred;1767821.55
Gaudin;Claire;1767382.95
Alexandre;Vincent;1765316.4
Lemaire;Antoine;1762471.6
Rousset;Nicole;1761056.25
Julien;Geneviève;1760078.85
Foucher;Jeanne;1756868.5
Allain;Dorothée;1756657.2
Le Roux;Paul;1756612.5
Lefort;Maryse;1755380.0
Wagner;daisy;1755317.95
Peltier;Édith;1753281.7
Delmas;Adrien;1752836.45
Becker;Manon;1752332.25
Fabre;Emmanuel;1751842.65
Voisin;Françoise;1751423.65
Giraud;Marguerite;1746793.25
Monnier;Tristan;1746484.3
Guyot;Michel;1746028.6
Joubert;Michelle;1745137.25
Rolland;Robert;1744367.65
Hernandez;Clémence;1744367.55
Denis;Gabriel;1744034.15
Hoarau;Margaux;1743760.2
Barbe;Cécile;1742231.15
Guerin;Anne;1741485.6
Bernier;Élodie;1741202.65
Leger;Yves;1739130.05
Philippe;daisy;1738531.1
Evrard;Yves;1737987.3
Lacroix;Jeanne;1737507.9
Munoz;Charlotte;1737252.05
Joseph;Dominique;1737087.35
Fournier;Éric;1735428.75
Caron;Christophe;1733958.8
Brun;Alice;1732434.15
Lebon;Sabine;1731369.2
Collet;Anastasie;1731212.3
Carpentier;Frédérique;1730777.1
Dumont;Maryse;1730752.95
Wagner;Margaret;1730281.7
Guichard;Emmanuel;1728850.8
Peron;David;1727092.65
Fournier;Christiane;1727012.15
Bousquet;Laure;1726944.4
Laporte;Colette;1726795.4
Fabre;Cécile;1723912.8
Henry;Henri;1723638.8
Costa;Danielle;1723496.4
Fouquet;Élisabeth;1722427.45
De Oliveira;Christiane;1722291.25
Martinez;Christophe;1720830.85
Charles;Margaux;1720769.85
Boyer;Élisabeth;1720370.45
Delaunay;Claudine;1720291.85
Le Goff;Anne;1719228.6
Antoine;Michèle;1718655.65
Foucher;Gabrielle;1718133.4
Petit;Victoire;1717793.9
Benard;Maurice;1715540.4
Peron;Juliette;1715306.45
Hoarau;Éric;1714976.45
Dupuy;Jeannine;1714194.2
Martins;Laurent;1713477.2
Thomas;Jacqueline;1711565.1
Levy;Cécile;1709548.9
Martineau;Édouard;1709069.25
Brun;Jeannine;1707664.3
Girard;Eugène;1707638.1
Hoareau;Adrienne;1706807.4
Joubert;Lucas;1706746.55
Guillon;Adèle;1706631.9
Guilbert;Maggie;1705896.1
Legrand;Timothée;1705780.65
Chartier;Suzanne;1704792.2
Delattre;Claire;1704116.1
Cordier;Susan;1703577.2
Rodriguez;Sophie;1703118.55
Lefort;Hugues;1702566.0
Barbe;Josette;1701883.3
Bouvet;Alphonse;1700975.5
Rodrigues;Catherine;1700593.7
Valette;Lucas;1698874.2
Rey;Émile;1698787.0
Noel;Lorraine;1698719.95
Albert;Jules;1698639.8
Bouvier;Amélie;1698182.4
Paul;Alfred;1697868.95
Roux;Benjamin;1697665.05
Mary;Guy;1697561.05
Barbier;Lucas;1695952.6
Fournier;Emmanuelle;1695493.55
Joubert;Antoinette;1694888.55
Gilles;Margaret;1694462.65
Adam;Adrienne;1694430.8
Briand;Virginie;1694265.6
Begue;Augustin;1694013.0
Paris;Jacques;1692862.3
Lamy;Sophie;1692749.85
Martin;Isaac;1692491.8
Alves;Marie;1692302.1
Nguyen;Joseph;1692282.35
Traore;Élise;1692257.0
Baron;Lucas;1690697.25
Dos Santos;Victoire;1690306.3
Germain;Suzanne;1690081.6
Lamy;Sylvie;1689534.85
Mary;Élodie;1689263.5
Sanchez;Thibault;1689232.65
Reynaud;Marc;1689147.5
Mahe;Victoire;1688874.1
Rey;Charles;1688852.65
Coulon;Christophe;1688637.85
Dumas;Denis;1687874.25
Nguyen;Céline;1687661.9
Faure;Andrée;1687467.4
Da Silva;Renée;1687115.3
Leger;Nathalie;1686866.75
Briand;Luce;1686385.1
Pinto;Adèle;1685963.15
Fernandes;Alexandre;1685251.65
Aubert;Richard;1685133.6
Blanchet;Louise;1685020.4
Cousin;Vincent;1683805.5
Robin;Laurence;1682809.1
Arnaud;Zacharie;1682326.35
Roux;Théodore;1681711.65
